REZ1,7,5,4,Student,22.680000,matei,1
REZ2,6,5,8,Student,18.900000,matei,0
REZ3,4,3,6,VIP,43.200000,matei,0
REZ4,14,7,7,Adult,24.300000,matei,0
REZ5,101,7,14,Student,20.790000,matei,0
REZ6,230,6,7,Adult,46.800000,matei,0
REZ7,231,4,8,Student,19.600000,matei,0
REZ8,232,5,6,Copil,11.500000,matei,0
REZ9,233,2,4,VIP,60.000000,matei,0
REZ10,1,5,7,Adult,30.000000,admin,0
REZ11,1,3,10,Adult,25.500000,ana,0
REZ12,40,5,8,Copil,17.250000,ana,0
REZ13,234,6,5,Student,16.800000,ana,0
REZ14,233,1,2,VIP,60.000000,ana,0
REZ15,13,8,4,Student,21.000000,andrei,0
REZ16,4,2,3,VIP,60.000000,andrei,0
REZ17,235,4,7,Adult,24.000000,andrei,0
REZ18,230,7,9,Pensionar,23.400000,andrei,1
REZ19,30,5,6,Adult,24.000000,ioana,0
REZ20,96,3,5,Student,25.200000,ioana,0
REZ21,236,8,10,Adult,48.600000,ioana,0
REZ22,237,5,8,Copil,11.000000,ioana,0
REZ23,14,6,6,Adult,27.000000,vlad,0
REZ24,8,3,5,VIP,60.000000,vlad,0
REZ25,238,2,4,VIP,48.000000,vlad,0
REZ26,239,9,12,Student,19.320000,vlad,1
REZ27,91,8,1,Adult,23.400000,ana,0
REZ28,196,4,3,Adult,48.600000,matei,0
