1,Dune: Part Two,Sala 1,2026-05-18 14:00,Subtitrat
2,Dune: Part Two,Sala 2,2026-05-18 14:30,Dublat
3,Dune: Part Two,Sala IMAX,2026-05-18 17:30,Subtitrat
4,Dune: Part Two,Sala VIP,2026-05-18 20:45,Subtitrat
5,Dune: Part Two,Sala 1,2026-05-18 21:00,Dublat
6,Dune: Part Two,Sala 1,2026-05-19 15:00,Subtitrat
7,Dune: Part Two,Sala IMAX,2026-05-19 19:00,Subtitrat
8,Dune: Part Two,Sala VIP,2026-05-20 20:00,Subtitrat
9,Inside Out 2,Sala 3,2026-05-18 10:00,Dublat
10,Inside Out 2,Sala 3,2026-05-18 12:30,Dublat
11,Inside Out 2,Sala VIP,2026-05-18 15:00,Subtitrat
12,Inside Out 2,Sala 2,2026-05-19 11:00,Dublat
13,Inception,Sala 2,2026-05-19 18:00,Subtitrat
14,The Batman,Sala 1,2026-05-19 20:00,Subtitrat
15,Avatar: The Way of Water,Sala IMAX,2026-05-20 14:00,Subtitrat
16,Oppenheimer,Sala VIP,2026-05-20 18:00,Subtitrat
17,Poor Things,Sala 2,2026-05-20 17:00,Subtitrat
18,Spider-Man: Beyond the Spider-Verse,Sala 3,2026-05-21 11:00,Dublat
19,Spider-Man: Beyond the Spider-Verse,Sala 3,2026-05-21 14:00,Subtitrat
